date,product,category,region,base_price,discount_pct,competitor_price,units_sold,revenue,cost,profit
2025-09-21T05:00:56.171Z,Fitness Band,Wearables,Central,3500,40,3014.95,15,31500,29900.87,1599.13
2025-03-04T05:00:56.171Z,Washing Machine,Appliances,Central,30000,10,34219.49,3,81000,69765.51,11234.49
2025-05-01T05:00:56.171Z,Wireless Mouse,Accessories,West,1200,0,1377.35,21,25200,12365.7,12834.3
2025-03-24T05:00:56.171Z,Refrigerator,Appliances,West,45000,15,42413.64,1,38250,35728.92,2521.08
2025-03-15T05:00:56.171Z,Laptop,Electronics,Central,50000,30,53344.24,8,280000,314885.85,-34885.85
2025-08-08T05:00:56.171Z,Refrigerator,Appliances,East,45000,20,50186.82,1,36000,38765.12,-2765.12
2025-10-24T05:00:56.173Z,Mobile,Electronics,North,20000,30,22329.01,11,154000,157851.22,-3851.22
2025-07-18T05:00:56.173Z,Refrigerator,Appliances,West,45000,20,43276.71,6,216000,220361.04,-4361.04
2025-05-08T05:00:56.173Z,Laptop,Electronics,West,50000,30,42972.98,5,175000,183982.97,-8982.97
2025-08-09T05:00:56.174Z,Smartwatch,Electronics,West,8000,15,9042.51,4,27200,20184,7016
2025-10-12T05:00:56.174Z,Tablet,Electronics,South,25000,15,22028.47,10,212500,199458.15,13041.85
2025-02-03T05:00:56.174Z,Gaming Laptop,Electronics,South,75000,30,73330.39,8,420000,501540.5,-81540.5
2025-04-25T05:00:56.174Z,Mobile,Electronics,South,20000,15,19156.51,5,85000,71091.3,13908.7
2025-07-07T05:00:56.174Z,Power Bank,Accessories,South,2500,0,2786.32,15,37500,21832.15,15667.85
2026-01-04T05:00:56.174Z,Premium Mobile,Electronics,West,40000,10,42968.73,6,216000,185080.87,30919.13
2025-02-02T05:00:56.174Z,Keyboard,Accessories,East,1800,40,2031.34,32,34560,31674.13,2885.87
2025-07-27T05:00:56.174Z,Laptop,Electronics,Central,50000,40,47994.35,8,240000,324544.22,-84544.22
2025-10-10T05:00:56.174Z,Wireless Mouse,Accessories,Central,1200,30,1116.13,14,11760,8569.13,3190.87
2025-12-28T05:00:56.174Z,Washing Machine,Appliances,Central,30000,0,25923.42,1,30000,25046.32,4953.68
2025-03-22T05:00:56.174Z,Gaming Laptop,Electronics,East,75000,15,71891.69,5,318750,321303.59,-2553.59
2025-04-14T05:00:56.174Z,Wireless Mouse,Accessories,West,1200,15,1047.08,20,20400,12994.08,7405.92
2025-03-28T05:00:56.174Z,Microwave Oven,Appliances,West,15000,15,15618.26,6,76500,69314.5,7185.5
2025-05-03T05:00:56.174Z,Refrigerator,Appliances,Central,45000,10,49903.21,7,283500,273287.84,10212.16
2025-10-30T05:00:56.174Z,Headphones,Electronics,South,3000,15,2623.46,2,5100,3811.28,1288.72
2025-04-25T05:00:56.174Z,Premium Mobile,Electronics,South,40000,10,43499.5,5,180000,145139.89,34860.11
2025-06-02T05:00:56.175Z,Laptop,Electronics,West,50000,30,44011.16,2,70000,74578.4,-4578.4
2025-11-30T05:00:56.175Z,Keyboard,Accessories,West,1800,30,1691.29,31,39060,28771.48,10288.52
2025-03-04T05:00:56.175Z,Gaming Laptop,Electronics,North,75000,15,82258.94,9,573750,574128.96,-378.96
2025-12-02T05:00:56.175Z,Fitness Band,Wearables,West,3500,25,3129.58,16,42000,34785.3,7214.7
2025-12-19T05:00:56.175Z,Gaming Laptop,Electronics,South,75000,0,75497,1,75000,61406.93,13593.07
2026-01-12T05:00:56.175Z,Headphones,Electronics,North,3000,15,3405.74,5,12750,8855.18,3894.82
2025-09-11T05:00:56.175Z,Smart Glasses,Wearables,East,12000,0,10540.33,6,72000,48791.65,23208.35
2025-08-02T05:00:56.175Z,Fitness Band,Wearables,West,3500,30,3740.6,7,17150,14104.9,3045.1
2025-12-31T05:00:56.175Z,Fitness Band,Wearables,North,3500,5,3228.89,7,23275,15584.37,7690.63
2025-09-09T05:00:56.175Z,Refrigerator,Appliances,North,45000,10,44765.88,6,243000,216873.16,26126.84
2025-07-01T05:00:56.175Z,Fitness Band,Wearables,East,3500,20,3458.19,10,28000,19808.09,8191.91
2026-01-16T05:00:56.175Z,Headphones,Electronics,North,3000,20,3092.75,2,4800,3624.91,1175.09
2025-05-04T05:00:56.175Z,Bluetooth Speaker,Electronics,North,4500,30,4194.74,4,12600,11641.46,958.54
2025-03-12T05:00:56.183Z,Keyboard,Accessories,Central,1800,30,1621.98,26,32760,26918.13,5841.87
2025-06-21T05:00:56.183Z,Smartwatch,Electronics,South,8000,30,6911.05,12,67200,69373.81,-2173.81
2026-01-15T05:00:56.183Z,Refrigerator,Appliances,West,45000,20,47219.31,3,108000,106752.46,1247.54
2025-07-01T05:00:56.183Z,Gaming Laptop,Electronics,West,75000,15,85174.71,9,573750,553373.38,20376.62
2025-04-03T05:00:56.183Z,Tablet,Electronics,West,25000,20,21274.53,3,60000,54410.56,5589.44
2025-10-12T05:00:56.183Z,Headphones,Electronics,Central,3000,25,3072.13,5,11250,8733.96,2516.04
2025-08-12T05:00:56.183Z,Tablet,Electronics,South,25000,25,25437,11,206250,213061.56,-6811.56
2025-06-24T05:00:56.183Z,Refrigerator,Appliances,North,45000,30,41692.04,8,252000,288851.64,-36851.64
2025-05-21T05:00:56.183Z,Washing Machine,Appliances,North,30000,5,26237.33,1,28500,25274.1,3225.9
2025-08-28T05:00:56.183Z,Bluetooth Speaker,Electronics,East,4500,15,5140.09,1,3825,2785.5,1039.5
2026-01-17T05:00:56.183Z,Mobile,Electronics,East,20000,30,22626.24,4,56000,62118.94,-6118.94
2025-03-29T05:00:56.183Z,Power Bank,Accessories,Central,2500,25,2733.43,16,30000,22931.46,7068.54
2025-12-25T05:00:56.183Z,Washing Machine,Appliances,Central,30000,15,33200.51,4,102000,95903.84,6096.16
2025-03-30T05:00:56.183Z,Fitness Band,Wearables,East,3500,10,3586.39,13,40950,26408.8,14541.2
2025-10-08T05:00:56.183Z,Keyboard,Accessories,Central,1800,0,1551.59,6,10800,6210.14,4589.86
2025-04-29T05:00:56.184Z,Microwave Oven,Appliances,East,15000,20,15251.26,5,60000,63074.43,-3074.43
2025-07-31T05:00:56.184Z,Wireless Mouse,Accessories,East,1200,10,1340.42,7,7560,4455.73,3104.27
2025-09-27T05:00:56.184Z,Fitness Band,Wearables,Central,3500,5,3371.64,8,26600,17496.07,9103.93
2025-11-24T05:00:56.184Z,Headphones,Electronics,East,3000,10,3075.46,1,2700,1854.22,845.78
2025-06-23T05:00:56.184Z,Microwave Oven,Appliances,East,15000,40,13187.84,3,27000,38503.96,-11503.96
2025-09-22T05:00:56.184Z,Refrigerator,Appliances,West,45000,20,43425.21,4,144000,149123.55,-5123.55
2025-08-10T05:00:56.184Z,Gaming Laptop,Electronics,Central,75000,10,77458.93,7,472500,441118.94,31381.06
2025-10-18T05:00:56.184Z,Smart Glasses,Wearables,Central,12000,20,10581.17,14,134400,115238.37,19161.63
2025-11-10T05:00:56.184Z,Microwave Oven,Appliances,East,15000,30,15114.47,7,73500,80935.63,-7435.63
2025-07-09T05:00:56.184Z,Bluetooth Speaker,Electronics,Central,4500,40,3960.22,10,27000,30993.8,-3993.8
2025-08-16T05:00:56.184Z,Laptop,Electronics,West,50000,25,51384.14,5,187500,184912.75,2587.25
2025-12-04T05:00:56.184Z,Laptop,Electronics,East,50000,30,55499.9,8,280000,333623.66,-53623.66
2025-05-23T05:00:56.184Z,Air Conditioner,Appliances,South,42000,40,41120.98,2,50400,72012.25,-21612.25
2025-05-21T05:00:56.184Z,Premium Mobile,Electronics,Central,40000,30,40631.4,8,224000,255904.93,-31904.93
2025-12-23T05:00:56.184Z,Smartwatch,Electronics,West,8000,20,9008.52,9,57600,51184.64,6415.36
2025-11-25T05:00:56.184Z,Headphones,Electronics,North,3000,15,3266.36,6,15300,10637.79,4662.21
2025-10-02T05:00:56.184Z,Fitness Band,Wearables,Central,3500,30,3081.23,18,44100,39828.41,4271.59
2025-10-28T05:00:56.185Z,Laptop,Electronics,South,50000,40,57195.4,10,300000,414292.04,-114292.04
2025-07-12T05:00:56.185Z,Power Bank,Accessories,South,2500,5,2434.68,15,35625,22355.15,13269.85
2025-03-03T05:00:56.185Z,Headphones,Electronics,Central,3000,30,2763.64,5,10500,9005.01,1494.99
2025-12-02T05:00:56.185Z,Fitness Band,Wearables,West,3500,40,3494.58,40,84000,80920.73,3079.27
2025-03-01T05:00:56.185Z,Bluetooth Speaker,Electronics,East,4500,40,4117.19,1,2700,3026.95,-326.95
2025-11-05T05:00:56.185Z,Tablet,Electronics,East,25000,15,24845.97,2,42500,35927.26,6572.74
2025-10-21T05:00:56.185Z,Premium Mobile,Electronics,South,40000,10,38395.64,3,108000,84876.38,23123.62
2025-09-08T05:00:56.185Z,Headphones,Electronics,East,3000,40,3073.42,6,10800,10875.39,-75.39
2025-10-05T05:00:56.185Z,Smart Glasses,Wearables,West,12000,10,12577.2,9,97200,78617.39,18582.61
2025-09-19T05:00:56.185Z,Bluetooth Speaker,Electronics,Central,4500,15,4127.14,5,19125,14124.51,5000.49
2025-02-14T05:00:56.185Z,Microwave Oven,Appliances,East,15000,20,17240.18,1,12000,12820.73,-820.73
2025-02-22T05:00:56.185Z,Gaming Laptop,Electronics,South,75000,15,71695.81,9,573750,563125.19,10624.81
2025-02-25T05:00:56.185Z,Tablet,Electronics,West,25000,30,21750.36,9,157500,176481.59,-18981.59
2025-12-21T05:00:56.185Z,Tablet,Electronics,South,25000,25,23761.79,3,56250,53658.05,2591.95
2025-12-06T05:00:56.185Z,Gaming Laptop,Electronics,Central,75000,10,79457.75,7,472500,425375.27,47124.73
2025-09-11T05:00:56.185Z,Power Bank,Accessories,East,2500,20,2656.42,21,42000,29986.41,12013.59
2025-02-27T05:00:56.185Z,Keyboard,Accessories,East,1800,20,2063.63,10,14400,9739.48,4660.52
2025-09-24T05:00:56.186Z,Washing Machine,Appliances,North,30000,5,32329.29,3,85500,69152.88,16347.12
2025-04-13T05:00:56.186Z,Mobile,Electronics,North,20000,20,18539.36,4,64000,59893.78,4106.22
2025-12-27T05:00:56.186Z,Tablet,Electronics,West,25000,10,23338.02,3,67500,55070.74,12429.26
2025-02-05T05:00:56.186Z,Smart Glasses,Wearables,East,12000,15,12032.34,13,132600,110224.18,22375.82
2025-05-25T05:00:56.186Z,Smart Glasses,Wearables,Central,12000,20,11073.71,4,38400,33391.32,5008.68
2025-04-21T05:00:56.186Z,Smartwatch,Electronics,East,8000,5,7840.25,1,7600,5465.48,2134.52
2025-06-01T05:00:56.186Z,Laptop,Electronics,North,50000,20,55119.41,2,80000,74233.16,5766.84
2025-06-24T05:00:56.186Z,Wireless Mouse,Accessories,East,1200,40,1154.58,22,15840,13014.07,2825.93
2025-06-14T05:00:56.186Z,Smart Glasses,Wearables,East,12000,20,12688.63,8,76800,68342.21,8457.79
2025-12-20T05:00:56.186Z,Washing Machine,Appliances,Central,30000,0,34112.15,2,60000,50715.73,9284.27
2025-05-20T05:00:56.186Z,Gaming Laptop,Electronics,Central,75000,5,82647.76,1,71250,64230.4,7019.6
2025-09-06T05:00:56.186Z,Laptop,Electronics,Central,50000,30,43499.17,3,105000,113371.07,-8371.07
2026-01-06T05:00:56.186Z,Mobile,Electronics,North,20000,40,18295.96,2,24000,30773.22,-6773.22
2025-12-11T05:00:56.186Z,Mobile,Electronics,North,20000,10,20220.8,3,54000,40706.93,13293.07
2025-10-08T05:00:56.186Z,Air Conditioner,Appliances,Central,42000,0,41191.01,2,84000,74103.07,9896.93
2025-05-10T05:00:56.186Z,Air Conditioner,Appliances,South,42000,40,46960.46,2,50400,76798.58,-26398.58
2025-10-21T05:00:56.186Z,Smart Glasses,Wearables,East,12000,25,10825.95,7,63000,64548.16,-1548.16
2025-03-10T05:00:56.187Z,Bluetooth Speaker,Electronics,West,4500,0,4870.19,1,4500,3079.63,1420.37
2025-03-11T05:00:56.187Z,Smart Glasses,Wearables,Central,12000,30,12098.21,11,92400,100841.16,-8441.16
2025-08-13T05:00:56.187Z,Headphones,Electronics,South,3000,5,2621.85,3,8550,5591.41,2958.59
2025-07-15T05:00:56.187Z,Smart Glasses,Wearables,East,12000,10,13527.19,15,162000,139060.93,22939.07
2025-03-07T05:00:56.187Z,Washing Machine,Appliances,Central,30000,30,34194.54,2,42000,51516.5,-9516.5
2025-11-28T05:00:56.187Z,Premium Mobile,Electronics,East,40000,10,39675.26,7,252000,193871.84,58128.16
2025-06-21T05:00:56.187Z,Smart Glasses,Wearables,Central,12000,40,13765.23,14,100800,130264.98,-29464.98
2025-09-08T05:00:56.187Z,Smart Glasses,Wearables,North,12000,10,11432.37,9,97200,72623.59,24576.41
2025-04-23T05:00:56.191Z,Mobile,Electronics,South,20000,15,22056.99,2,34000,27688.62,6311.38
2025-02-26T05:00:56.191Z,Headphones,Electronics,Central,3000,10,3160.97,5,13500,8899.97,4600.03
2026-01-01T05:00:56.191Z,Gaming Laptop,Electronics,West,75000,10,85757.9,7,472500,446848.82,25651.18
2025-05-21T05:00:56.191Z,Tablet,Electronics,North,25000,0,23315.06,3,75000,54253.57,20746.43
2025-09-11T05:00:56.191Z,Washing Machine,Appliances,East,30000,5,28922.5,5,142500,119597.51,22902.49
2025-07-04T05:00:56.191Z,Tablet,Electronics,North,25000,25,22153.37,9,168750,161424.87,7325.13
2025-06-04T05:00:56.192Z,Bluetooth Speaker,Electronics,North,4500,20,4049.93,2,7200,5370.19,1829.81
2025-09-11T05:00:56.192Z,Bluetooth Speaker,Electronics,West,4500,20,5016.96,5,18000,15042.42,2957.58
2025-08-06T05:00:56.192Z,Premium Mobile,Electronics,North,40000,40,45376.01,5,120000,146519.07,-26519.07
2025-06-07T05:00:56.192Z,Keyboard,Accessories,North,1800,40,1596.35,24,25920,22096.63,3823.37
2025-04-26T05:00:56.192Z,Smartwatch,Electronics,Central,8000,25,8481.89,8,48000,45775.03,2224.97
2025-09-20T05:00:56.192Z,Fitness Band,Wearables,East,3500,0,3060.6,8,28000,15755.06,12244.94
2025-09-16T05:00:56.192Z,Air Conditioner,Appliances,Central,42000,25,36043.97,1,31500,35392.45,-3892.45
2025-12-01T05:00:56.192Z,Air Conditioner,Appliances,East,42000,0,35722.92,2,84000,72940.3,11059.7
2025-02-05T05:00:56.192Z,Smartwatch,Electronics,West,8000,10,9110.89,10,72000,54294.18,17705.82
2025-12-22T05:00:56.192Z,Wireless Mouse,Accessories,South,1200,15,1363.16,9,9180,5913.74,3266.26
2025-09-05T05:00:56.192Z,Bluetooth Speaker,Electronics,South,4500,25,4749.38,10,33750,29607.77,4142.23
2025-05-05T05:00:56.192Z,Headphones,Electronics,North,3000,10,3447.98,7,18900,12601.54,6298.46
2025-04-06T05:00:56.192Z,Air Conditioner,Appliances,South,42000,10,46382.81,3,113400,107706.19,5693.81
2025-12-27T05:00:56.192Z,Wireless Mouse,Accessories,West,1200,5,1268.55,19,21660,11884.7,9775.3
2025-08-02T05:00:56.192Z,Bluetooth Speaker,Electronics,North,4500,20,4732.89,2,7200,5775.46,1424.54
2025-08-11T05:00:56.192Z,Mobile,Electronics,Central,20000,30,20666.63,7,98000,107418.66,-9418.66
